Detector Type,Descroptor Type,Image0-1,Image1-2,Image2-3,Image3-4,Image4-5,Image5-6,Image6-7,Image7-8,Image8-9,Image9-10,Image10-11,Image11-12,Image12-13,Image13-14,Image14-15,Image15-16,Image16-17,Image17-18,
SHITOMASI,BRISK,18.1263,17.4648,24.0978,12.2613,19.7724,N.A,19.5281,50.4396,12.1376,13.9403,12.959,13.7238,15.0112,11.7928,10.297,11.7852,12.466,7.97779,
SHITOMASI,BRIEF,14.2334,23.5449,10.9981,12.4346,12.9506,13.7589,15.2969,13.5249,11.8062,13.0553,11.3024,10.9228,12.4587,10.3991,11.6309,13.1,9.98338,8.76569,
SHITOMASI,ORB,15.0726,12.3866,12.9171,12.1102,13.5536,13.1292,18.2525,13.7625,11.9423,15.0614,11.4718,13.6982,13.176,12.1195,11.322,15.103,11.7417,7.79462,
SHITOMASI,FREAK,136.402,17.4899,-10.4429,16.6023,12.0934,-inf,-inf,-0.407861,13.5993,-1.54481,11.8197,14.9516,15.3868,-inf,14.7745,-1.46627,12.84,9.52513,
SHITOMASI,SIFT,13.6475,12.4882,11.4231,12.9143,12.2187,13.4007,13.0387,11.8818,11.7144,13.3448,11.9855,11.5986,12.1494,10.7982,9.16265,11.6247,10.7197,9.61047,
HARRIS,BRISK,10.9082,-0.168425,-inf,11.7693,44.9166,12.9945,12.2,13.2352,nan,-inf,11.7414,11.6948,13.456,7.72144,-12.639,6.6376,12.5848,-inf,
HARRIS,BRIEF,8.81335,11.0081,-10.8522,12.1284,40.8037,12.9945,12.3379,12.9162,3.30058,20.5862,11.7414,nan,13.4095,12.288,nan,7.21241,12.5848,-inf,
HARRIS,ORB,10.9082,11.0081,-11.4731,N.A,36.3547,12.9945,12.3379,13.5704,-0.541308,-153.93,11.0967,11.5139,25.6953,5.85828,-inf,8.52258,11.1009,-inf,
HARRIS,FREAK,8.81335,-0.250968,-0.126406,14.4179,-96.0851,13.5907,10.7642,12.3725,nan,5.4549,-inf,11.6948,13.4327,6.2196,-12.639,12.7502,11.8634,25.6763,
HARRIS,SIFT,8.81335,63.8475,-11.4731,N.A,37.3809,N.A,13.712,13.5704,3.30058,10.2931,11.2142,nan,568.322,5.6061,-11.4117,6.60338,12.5848,-inf,
FAST,BRISK,15.0097,12.9565,36.6198,15.2657,-inf,N.A,-inf,12.2709,13.1118,13.6877,15.1095,14.0786,12.2294,12.1132,12.5199,13.1008,12.0308,12.29,
FAST,BRIEF,10.7439,11.3472,11.4487,N.A,14.4739,13.0386,10.9258,11.5726,11.8521,13.8064,14.1233,11.0543,12.2347,10.2646,10.9945,12.3442,7.43499,10.9555,
FAST,ORB,12.1418,-inf,19.3456,N.A,94.514,13.7648,12.1868,10.6031,11.8684,13.8722,13.4169,13.8873,12.1467,12.2816,11.7039,12.6506,10.3629,11.5571,
FAST,FREAK,28.7003,-0.367733,36.939,N.A,-inf,-0.811256,-inf,13.4186,11.7755,14.7747,-inf,14.0817,19.4947,14.6334,13.0303,14.0151,10.9806,12.6724,
FAST,SIFT,11.1556,11.9033,13.3802,N.A,20.9709,12.9428,12.4617,11.8507,12.8356,13.5023,13.5948,12.1376,12.0299,11.2431,11.3622,12.1376,9.06012,11.6857,
BRISK,BRISK,12.7077,21.2162,12.7731,19.6173,62.919,N.A,15.3285,20.2135,16.2662,12.1302,12.5581,11.1991,11.7853,11.5935,11.245,11.4257,9.286,12.7184,
BRISK,BRIEF,13.0638,25.2138,12.7018,N.A,16.6211,20.2885,15.9361,18.9559,13.1328,10.5229,14.2497,12.6734,10.8361,11.7695,10.5684,12.7646,9.15638,12.3281,
BRISK,ORB,-5.0369,37.7203,35.0615,N.A,-23.1718,N.A,19.8455,23.6277,19.4801,13.9893,-44.487,17.5694,11.5702,14.4239,13.1398,21.9069,11.8885,20.2717,
BRISK,FREAK,13.9334,17.7076,12.9527,19.0878,28.8633,18.0673,27.3245,-66.0195,21.6596,13.8453,18.8952,11.5399,12.3186,11.1338,13.0559,13.8732,9.45848,13.1036,
BRISK,SIFT,13.0279,14.9093,16.5935,10.9715,32.2858,15.4126,14.1326,19.0246,17.3305,14.0622,14.0111,12.7026,11.7853,11.1561,12.6832,11.0529,10.9975,13.1648,
ORB,BRISK,13.3044,14.1936,19.2234,N.A,502.13,N.A,-inf,10.911,11.924,12.4526,7.37615,-inf,12.8562,7.40763,19.071,13.8924,17.2956,32.95,
ORB,BRIEF,14.3109,13.0589,33.6028,N.A,15.0541,N.A,65.2397,24.5417,15.1895,16.3301,9.59213,16.0452,13.3725,14.976,25.4223,8.98023,18.5151,17.5442,
ORB,ORB,14.6721,19.4981,24.6468,N.A,58.7163,N.A,53.6948,10.6652,1454.44,23.6961,9.20314,15.717,10.4189,13.5239,23.5777,11.1072,27.3751,14.5414,
ORB,FREAK,10.8954,27.3691,12.6911,N.A,-inf,N.A,-inf,10.0584,15.3222,-inf,6.46748,19.2325,7.85948,20.0658,8.72363,9.85736,11.3219,7.49556,
ORB,SIFT,-0.317013,13.5995,15.1614,N.A,-7.48101,N.A,129.898,10.6963,13.0609,12.7281,9.20223,-inf,-0.476906,35.8137,24.6352,9.49403,15.7547,25.339,
AKAZE,BRISK,12.0991,14.8586,14.2833,14.7363,14.1599,14.571,16.4153,14.0724,13.884,11.8806,12.6083,10.7073,9.95544,9.7763,9.43747,10.3711,9.09447,8.7621,
AKAZE,BRIEF,12.649,15.381,13.0433,14.0404,15.0809,12.6298,16.5976,13.9599,13.1277,12.926,13.2539,10.7663,10.9389,11.4498,9.605,10.19,9.52813,9.34625,
AKAZE,ORB,12.6857,17.0807,14.3322,13.9356,14.871,14.984,16.3005,14.2259,12.7087,12.5967,11.5376,12.4421,10.4759,11.326,12.3059,10.319,9.13603,8.5171,
AKAZE,FREAK,12.7331,17.0902,17.0941,16.0909,19.8475,15.569,15.7312,14.616,13.256,12.2361,14.4425,17.4068,12.2251,10.3788,9.8064,10.3153,9.57578,9.19748,
AKAZE,AKAZE,12.5498,13.7448,12.586,N.A,16.0153,13.6506,15.4189,13.6794,13.4945,11.41,12.3677,11.19,10.859,11.0192,10.1652,9.83025,9.39664,8.76909,
AKAZE,SIFT,12.7269,13.5348,12.6704,13.824,14.8955,13.6561,15.9422,13.4817,13.8546,11.4617,12.1417,10.9656,10.9342,10.1891,9.86979,10.0928,9.39889,8.85473,
SIFT,BRISK,14.4584,15.1875,12.8967,N.A,15.2952,11.561,15.5994,17.6907,13.7392,11.2312,12.4448,10.7273,10.2614,10.3942,9.36103,9.21966,8.75181,8.62762,
SIFT,BRIEF,12.5061,14.5562,12.9017,N.A,15.281,N.A,14.4148,16.8693,13.5613,12.1793,10.4431,11.7818,9.67367,10.9731,9.31094,9.1402,8.60459,8.10735,
SIFT,FREAK,32.9406,-0.788827,N.A,N.A,-0.636799,13.1517,45.388,-1488.58,-3.07028,11.5166,-0.435501,13.5216,13.5722,12.4078,14.3158,11.1664,9.40411,8.70566,
SIFT,SIFT,11.8476,12.9867,13.833,N.A,14.096,12.7924,15.8028,19.0214,16.4055,11.0335,12.363,12.5094,10.5663,10.6625,10.159,9.30263,8.74871,8.77689,
